Time(sec)     	Capacitor Charge(C)   	Capacitor Voltage(V)   	Current(A)     	Capacitor Energy(J)       	Inductor Energy(J)
0.0028   	    0.003132   	           62.647134   	         -189.935085   	             0.098117   	          0.901883
0.0029   	    0.002705   	           54.093173   	         -192.545913   	             0.073152   	          0.926848
0.0030   	    0.002272   	           45.431044   	         -194.771713   	             0.051599   	          0.948401
0.0031   	    0.001834   	           36.678068   	         -196.608035   	             0.033632   	          0.966368
0.0032   	    0.001393   	           27.851748   	         -198.051206   	             0.019393   	          0.980607
0.0033   	    0.000948   	           18.969734   	         -199.098341   	             0.008996   	          0.991004
0.0034   	    0.000502   	           10.049786   	         -199.747345   	             0.002525   	          0.997475
0.0035   	    0.000055   	            1.109743   	         -199.996921   	             0.000031   	          0.999969
0.0036   	   -0.000392   	           -7.832520   	         -199.846570   	             0.001534   	          0.998466
0.0037   	   -0.000838   	          -16.759120   	         -199.296593   	             0.007022   	          0.992978
0.0038   	   -0.001283   	          -25.652208   	         -198.348089   	             0.016451   	          0.983549
0.0039   	   -0.001725   	          -34.494000   	         -197.002954   	             0.029746   	          0.970254
0.0040   	   -0.002163   	          -43.266815   	         -195.263880   	             0.046800   	          0.953200
0.0041   	   -0.002598   	          -51.953111   	         -193.134343   	             0.067478   	          0.932522
0.0042   	   -0.003027   	          -60.535518   	         -190.618601   	             0.091614   	          0.908386
0.0043   	   -0.003450   	          -68.996874   	         -187.721686   	             0.119014   	          0.880986
0.0044   	   -0.003866   	          -77.320260   	         -184.449390   	             0.149461   	          0.850539
0.0045   	   -0.004274   	          -85.489031   	         -180.808257   	             0.182709   	          0.817291
0.0046   	   -0.004674   	          -93.486852   	         -176.805567   	             0.218495   	          0.781505
0.0047   	   -0.005065   	         -101.297730   	         -172.449325   	             0.256531   	          0.743469
0.0048   	   -0.005445   	         -108.906047   	         -167.748242   	             0.296513   	          0.703487
0.0049   	   -0.005815   	         -116.296589   	         -162.711719   	             0.338122   	          0.661878
0.0050   	   -0.006173   	         -123.454575   	         -157.349826   	             0.381026   	          0.618974
0.0051   	   -0.006518   	         -130.365694   	         -151.673286   	             0.424880   	          0.575120
0.0052   	   -0.006851   	         -137.016125   	         -145.693451   	             0.469335   	          0.530665
0.0053   	   -0.007170   	         -143.392569   	         -139.422276   	             0.514036   	          0.485964
0.0054   	   -0.007474   	         -149.482276   	         -132.872304   	             0.558624   	          0.441376
0.0055   	   -0.007764   	         -155.273068   	         -126.056631   	             0.602743   	          0.397257
0.0056   	   -0.008038   	         -160.753366   	         -118.988887   	             0.646041   	          0.353959
0.0057   	   -0.008296   	         -165.912211   	         -111.683205   	             0.688172   	          0.311828
0.0058   	   -0.008537   	         -170.739286   	         -104.154194   	             0.728798   	          0.271202
0.0059   	   -0.008761   	         -175.224940   	          -96.416909   	             0.767594   	          0.232406
0.0060   	   -0.008968   	         -179.360202   	          -88.486823   	             0.804252   	          0.195748
0.0061   	   -0.009157   	         -183.136804   	          -80.379792   	             0.838477   	          0.161523
0.0062   	   -0.009327   	         -186.547193   	          -72.112029   	             0.869996   	          0.130004
0.0063   	   -0.009479   	         -189.584550   	          -63.700065   	             0.898558   	          0.101442
0.0064   	   -0.009612   	         -192.242801   	          -55.160723   	             0.923932   	          0.076068
0.0065   	   -0.009726   	         -194.516631   	          -46.511077   	             0.945918   	          0.054082
0.0066   	   -0.009820   	         -196.401492   	          -37.768425   	             0.964339   	          0.035661
0.0067   	   -0.009895   	         -197.893616   	          -28.950249   	             0.979047   	          0.020953
0.0068   	   -0.009950   	         -198.990018   	          -20.074181   	             0.989926   	          0.010074
0.0069   	   -0.009984   	         -199.688507   	          -11.157973   	             0.996887   	          0.003113
0.0070   	   -0.009999   	         -199.987685   	           -2.219451   	             0.999877   	          0.000123
0.0071   	   -0.009994   	         -199.886954   	            6.723508   	             0.998870   	          0.001130
0.0072   	   -0.009969   	         -199.386516   	           15.653022   	             0.993875   	          0.006125
0.0073   	   -0.009924   	         -198.487372   	           24.551236   	             0.984931   	          0.015069
0.0074   	   -0.009860   	         -197.191319   	           33.400355   	             0.972110   	          0.027890
0.0075   	   -0.009775   	         -195.500949   	           42.182685   	             0.955516   	          0.044484
0.0076   	   -0.009671   	         -193.419642   	           50.880664   	             0.935279   	          0.064721
0.0077   	   -0.009548   	         -190.951561   	           59.476898   	             0.911562   	          0.088438
0.0078   	   -0.009405   	         -188.101640   	           67.954198   	             0.884556   	          0.115444
0.0079   	   -0.009244   	         -184.875578   	           76.295613   	             0.854474   	          0.145526
0.0080   	   -0.009064   	         -181.279827   	           84.484461   	             0.821559   	          0.178441
0.0081   	   -0.008866   	         -177.321577   	           92.504369   	             0.786074   	          0.213926
0.0082   	   -0.008650   	         -173.008743   	          100.339299   	             0.748301   	          0.251699
0.0083   	   -0.008417   	         -168.349949   	          107.973584   	             0.708543   	          0.291457
0.0084   	   -0.008168   	         -163.354511   	          115.391957   	             0.667117   	          0.332883
0.0085   	   -0.007902   	         -158.032418   	          122.579586   	             0.624356   	          0.375644
0.0086   	   -0.007620   	         -152.394313   	          129.522095   	             0.580601   	          0.419399
0.0087   	   -0.007323   	         -146.451471   	          136.205604   	             0.536201   	          0.463799
0.0088   	   -0.007011   	         -140.215774   	          142.616747   	             0.491512   	          0.508488
0.0089   	   -0.006685   	         -133.699693   	          148.742704   	             0.446890   	          0.553110
0.0090   	   -0.006346   	         -126.916257   	          154.571226   	             0.402693   	          0.597307
0.0091   	   -0.005994   	         -119.879030   	          160.090656   	             0.359275   	          0.640725
0.0092   	   -0.005630   	         -112.602086   	          165.289958   	             0.316981   	          0.683019
0.0093   	   -0.005255   	         -105.099974   	          170.158736   	             0.276150   	          0.723850
0.0094   	   -0.004869   	          -97.387698   	          174.687253   	             0.237109   	          0.762891
0.0095   	   -0.004474   	          -89.480679   	          178.866453   	             0.200170   	          0.799830
0.0096   	   -0.004070   	          -81.394728   	          182.687980   	             0.165628   	          0.834372
0.0097   	   -0.003657   	          -73.146016   	          186.144193   	             0.133758   	          0.866242
0.0098   	   -0.003238   	          -64.751035   	          189.228178   	             0.104817   	          0.895183
0.0099   	   -0.002811   	          -56.226574   	          191.933771   	             0.079036   	          0.920964
0.0100   	   -0.002379   	          -47.589678   	          194.255560   	             0.056619   	          0.943381
0.0101   	   -0.001943   	          -38.857619   	          196.188902   	             0.037748   	          0.962252
0.0102   	   -0.001502   	          -30.047858   	          197.729933   	             0.022572   	          0.977428
0.0103   	   -0.001059   	          -21.178011   	          198.875569   	             0.011213   	          0.988787
0.0104   	   -0.000613   	          -12.265815   	          199.623520   	             0.003761   	          0.996239
0.0105   	   -0.000166   	           -3.329092   	          199.972291   	             0.000277   	          0.999723
0.0106   	    0.000281   	            5.614289   	          199.921184   	             0.000788   	          0.999212
0.0107   	    0.000727   	           14.546443   	          199.470301   	             0.005290   	          0.994710
0.0108   	    0.001172   	           23.449508   	          198.620544   	             0.013747   	          0.986253
0.0109   	    0.001615   	           32.305683   	          197.373612   	             0.026091   	          0.973909
0.0110   	    0.002055   	           41.097257   	          195.731999   	             0.042225   	          0.957775
0.0111   	    0.002490   	           49.806650   	          193.698987   	             0.062018   	          0.937982
0.0112   	    0.002921   	           58.416447   	          191.278642   	             0.085312   	          0.914688
0.0113   	    0.003345   	           66.909430   	          188.475803   	             0.111922   	          0.888078
0.0114   	    0.003763   	           75.268616   	          185.296075   	             0.141634   	          0.858366
0.0115   	    0.004174   	           83.477291   	          181.745817   	             0.174211   	          0.825789
0.0116   	    0.004576   	           91.519038   	          177.832128   	             0.209393   	          0.790607
0.0117   	    0.004969   	           99.377778   	          173.562834   	             0.246899   	          0.753101
0.0118   	    0.005352   	          107.037796   	          168.946472   	             0.286427   	          0.713573
0.0119   	    0.005724   	          114.483774   	          163.992273   	             0.327663   	          0.672337
0.0120   	    0.006085   	          121.700822   	          158.710144   	             0.370277   	          0.629723
0.0121   	    0.006434   	          128.674509   	          153.110649   	             0.413928   	          0.586072
0.0122   	    0.006770   	          135.390890   	          147.204982   	             0.458267   	          0.541733
0.0123   	    0.007092   	          141.836535   	          141.004955   	             0.502940   	          0.497060
0.0124   	    0.007400   	          147.998553   	          134.522965   	             0.547589   	          0.452411
0.0125   	    0.007693   	          153.864624   	          127.771974   	             0.591858   	          0.408142
0.0126   	    0.007971   	          159.423017   	          120.765482   	             0.635392   	          0.364608
0.0127   	    0.008233   	          164.662617   	          113.517499   	             0.677844   	          0.322156
0.0128   	    0.008479   	          169.572947   	          106.042519   	             0.718875   	          0.281125
0.0129   	    0.008707   	          174.144187   	           98.355489   	             0.758155   	          0.241845
0.0130   	    0.008918   	          178.367197   	           90.471780   	             0.795371   	          0.204629
0.0131   	    0.009112   	          182.233532   	           82.407159   	             0.830227   	          0.169773
0.0132   	    0.009287   	          185.735461   	           74.177750   	             0.862442   	          0.137558
0.0133   	    0.009443   	          188.865980   	           65.800011   	             0.891759   	          0.108241
0.0134   	    0.009581   	          191.618831   	           57.290694   	             0.917944   	          0.082056
0.0135   	    0.009699   	          193.988508   	           48.666814   	             0.940789   	          0.059211
0.0136   	    0.009799   	          195.970272   	           39.945617   	             0.960109   	          0.039891
0.0137   	    0.009878   	          197.560162   	           31.144542   	             0.975750   	          0.024250
0.0138   	    0.009938   	          198.754996   	           22.281189   	             0.987589   	          0.012411
0.0139   	    0.009978   	          199.552388   	           13.373280   	             0.995529   	          0.004471
0.0140   	    0.009998   	          199.950740   	            4.438630   	             0.999507   	          0.000493
0.0141   	    0.009997   	          199.949258   	           -4.504897   	             0.999493   	          0.000507
0.0142   	    0.009977   	          199.547944   	          -13.439415   	             0.995485   	          0.004515
0.0143   	    0.009937   	          198.747601   	          -22.347059   	             0.987515   	          0.012485
0.0144   	    0.009877   	          197.549829   	          -31.210016   	             0.975648   	          0.024352
0.0145   	    0.009798   	          195.957023   	          -40.010563   	             0.959979   	          0.040021
0.0146   	    0.009699   	          193.972368   	          -48.731103   	             0.940632   	          0.059368
0.0147   	    0.009580   	          191.599833   	          -57.354197   	             0.917762   	          0.082238
0.0148   	    0.009442   	          188.844163   	          -65.862601   	             0.891553   	          0.108447
0.0149   	    0.009286   	          185.710867   	          -74.239303   	             0.862213   	          0.137787
0.0150   	    0.009110   	          182.206211   	          -82.467550   	             0.829978   	          0.170022
0.0151   	    0.008917   	          178.337203   	          -90.530890   	             0.795104   	          0.204896
0.0152   	    0.008706   	          174.111581   	          -98.413198   	             0.757871   	          0.242129
0.0153   	    0.008477   	          169.537793   	         -106.098712   	             0.718577   	          0.281423
0.0154   	    0.008231   	          164.624986   	         -113.572065   	             0.677535   	          0.322465
0.0155   	    0.007969   	          159.382984   	         -120.818311   	             0.635073   	          0.364927
0.0156   	    0.007691   	          153.822270   	         -127.822961   	             0.591532   	          0.408468
0.0157   	    0.007398   	          147.953962   	         -134.572008   	             0.547259   	          0.452741
0.0158   	    0.007089   	          141.789795   	         -141.051955   	             0.502609   	          0.497391
0.0159   	    0.006767   	          135.342096   	         -147.249845   	             0.457937   	          0.542063
0.0160   	    0.006431   	          128.623758   	         -153.153285   	             0.413602   	          0.586398
0.0161   	    0.006082   	          121.648216   	         -158.750470   	             0.369957   	          0.630043
0.0162   	    0.005721   	          114.429417   	         -164.030206   	             0.327352   	          0.672648
0.0163   	    0.005349   	          106.981798   	         -168.981937   	             0.286128   	          0.713872
0.0164   	    0.004966   	           99.320251   	         -173.595760   	             0.246613   	          0.753387
0.0165   	    0.004573   	           91.460096   	         -177.862449   	             0.209124   	          0.790876
0.0166   	    0.004171   	           83.417052   	         -181.773473   	             0.173960   	          0.826040
0.0167   	    0.003760   	           75.207201   	         -185.321010   	             0.141403   	          0.858597
0.0168   	    0.003342   	           66.846962   	         -188.497967   	             0.111713   	          0.888287
0.0169   	    0.002918   	           58.353050   	         -191.297991   	             0.085127   	          0.914873
0.0170   	    0.002487   	           49.742452   	         -193.715483   	             0.061858   	          0.938142
0.0171   	    0.002052   	           41.032385   	         -195.745609   	             0.042091   	          0.957909
0.0172   	    0.001612   	           32.240268   	         -197.384308   	             0.025986   	          0.974014
0.0173   	    0.001169   	           23.383680   	         -198.628305   	             0.013670   	          0.986330
0.0174   	    0.000724   	           14.480334   	         -199.475111   	             0.005242   	          0.994758
0.0175   	    0.000277   	            5.548031   	         -199.923034   	             0.000770   	          0.999230
0.0176   	   -0.000170   	           -3.395366   	         -199.971177   	             0.000288   	          0.999712
0.0177   	   -0.000617   	          -12.331974   	         -199.619444   	             0.003802   	          0.996198
0.0178   	   -0.001062   	          -21.243921   	         -198.868539   	             0.011283   	          0.988717
0.0179   	   -0.001506   	          -30.113388   	         -197.719963   	             0.022670   	          0.977330
0.0180   	   -0.001946   	          -38.922638   	         -196.176013   	             0.037874   	          0.962126
0.0181   	   -0.002383   	          -47.654056   	         -194.239777   	             0.056773   	          0.943227
0.0182   	   -0.002815   	          -56.290181   	         -191.915126   	             0.079215   	          0.920785
0.0183   	   -0.003241   	          -64.813745   	         -189.206708   	             0.105021   	          0.894979
0.0184   	   -0.003660   	          -73.207703   	         -186.119940   	             0.133984   	          0.866016
0.0185   	   -0.004073   	          -81.455270   	         -182.660995   	             0.165874   	          0.834126
0.0186   	   -0.004477   	          -89.539954   	         -178.836788   	             0.200435   	          0.799565
0.0187   	   -0.004872   	          -97.445588   	         -174.654967   	             0.237391   	          0.762609
0.0188   	   -0.005258   	         -105.156362   	         -170.123894   	             0.276447   	          0.723553
0.0189   	   -0.005633   	         -112.656860   	         -165.252631   	             0.317289   	          0.682711
0.0190   	   -0.005997   	         -119.932081   	         -160.050917   	             0.359593   	          0.640407
0.0191   	   -0.006348   	         -126.967478   	         -154.529155   	             0.403019   	          0.596981
0.0192   	   -0.006687   	         -133.748982   	         -148.698386   	             0.447220   	          0.552780
0.0193   	   -0.007013   	         -140.263033   	         -142.570269   	             0.491843   	          0.508157
0.0194   	   -0.007325   	         -146.496604   	         -136.157060   	             0.536531   	          0.463469
0.0195   	   -0.007622   	         -152.437231   	         -129.471582   	             0.580928   	          0.419072
0.0196   	   -0.007904   	         -158.073035   	         -122.527204   	             0.624677   	          0.375323
0.0197   	   -0.008170   	         -163.392745   	         -115.337812   	             0.667430   	          0.332570
0.0198   	   -0.008419   	         -168.385724   	         -107.917783   	             0.708844   	          0.291156
0.0199   	   -0.008652   	         -173.041988   	         -100.281955   	             0.748588   	          0.251412
0.0200   	   -0.008868   	         -177.352225   	          -92.445596   	             0.786345   	          0.213655
0.0201   	   -0.009065   	         -181.307817   	          -84.424377   	             0.821813   	          0.178187
0.0202   	   -0.009245   	         -184.900854   	          -76.234337   	             0.854708   	          0.145292
0.0203   	   -0.009406   	         -188.124151   	          -67.891854   	             0.884767   	          0.115233
0.0204   	   -0.009549   	         -190.971262   	          -59.413610   	             0.911751   	          0.088249
0.0205   	   -0.009672   	         -193.436495   	          -50.816558   	             0.935442   	          0.064558
0.0206   	   -0.009776   	         -195.514918   	          -42.117890   	             0.955652   	          0.044348
0.0207   	   -0.009860   	         -197.202378   	          -33.335001   	             0.972219   	          0.027781
0.0208   	   -0.009925   	         -198.495498   	          -24.485452   	             0.985012   	          0.014988
0.0209   	   -0.009970   	         -199.391693   	          -15.586941   	             0.993926   	          0.006074
0.0210   	   -0.009994   	         -199.889171   	           -6.657261   	             0.998892   	          0.001108
0.0211   	   -0.009999   	         -199.986938   	            2.285731   	             0.999869   	          0.000131
0.0212   	   -0.009984   	         -199.684798   	           11.224153   	             0.996850   	          0.003150
0.0213   	   -0.009949   	         -198.983354   	           20.140130   	             0.989859   	          0.010141
0.0214   	   -0.009894   	         -197.884010   	           29.015833   	             0.978952   	          0.021048
0.0215   	   -0.009819   	         -196.388964   	           37.833514   	             0.964216   	          0.035784
0.0216   	   -0.009725   	         -194.501206   	           46.575541   	             0.945768   	          0.054232
0.0217   	   -0.009611   	         -192.224509   	           55.224433   	             0.923757   	          0.076243
0.0218   	   -0.009478   	         -189.563428   	           63.762894   	             0.898357   	          0.101643
0.0219   	   -0.009326   	         -186.523284   	           72.173850   	             0.869773   	          0.130227
0.0220   	   -0.009156   	         -183.110155   	           80.440483   	             0.838233   	          0.161767
0.0221   	   -0.008967   	         -179.330866   	           88.546261   	             0.803989   	          0.196011
0.0222   	   -0.008760   	         -175.192976   	           96.474977   	             0.767314   	          0.232686
0.0223   	   -0.008535   	         -170.704758   	          104.210775   	             0.728503   	          0.271497
0.0224   	   -0.008294   	         -165.875188   	          111.738186   	             0.687864   	          0.312136
0.0225   	   -0.008036   	         -160.713922   	          119.042158   	             0.645724   	          0.354276
0.0226   	   -0.007762   	         -155.231282   	          126.108085   	             0.602419   	          0.397581
0.0227   	   -0.007472   	         -149.438231   	          132.921838   	             0.558295   	          0.441705
0.0228   	   -0.007167   	         -143.346354   	          139.469792   	             0.513704   	          0.486296
0.0229   	   -0.006848   	         -136.967832   	          145.738852   	             0.469005   	          0.530995
0.0230   	   -0.006516   	         -130.315419   	          151.716484   	             0.424553   	          0.575447
0.0231   	   -0.006170   	         -123.402420   	          157.390733   	             0.380704   	          0.619296
0.0232   	   -0.005812   	         -116.242656   	          162.750253   	             0.337809   	          0.662191
0.0233   	   -0.005443   	         -108.850446   	          167.784327   	             0.296210   	          0.703790
0.0234   	   -0.005062   	         -101.240572   	          172.482888   	             0.256241   	          0.743759
0.0235   	   -0.004671   	          -93.428250   	          176.836541   	             0.218221   	          0.781779
0.0236   	   -0.004271   	          -85.429102   	          180.836579   	             0.182453   	          0.817547
0.0237   	   -0.003863   	          -77.259125   	          184.475005   	             0.149224   	          0.850776
0.0238   	   -0.003447   	          -68.934656   	          187.744542   	             0.118800   	          0.881200
0.0239   	   -0.003024   	          -60.472340   	          190.638653   	             0.091423   	          0.908577
0.0240   	   -0.002594   	          -51.889100   	          193.151550   	             0.067312   	          0.932688
0.0241   	   -0.002160   	          -43.202098   	          195.278208   	             0.046661   	          0.953339
0.0242   	   -0.001721   	          -34.428707   	          197.014375   	             0.029633   	          0.970367
0.0243   	   -0.001279   	          -25.586470   	          198.356579   	             0.016367   	          0.983633
0.0244   	   -0.000835   	          -16.693069   	          199.302136   	             0.006966   	          0.993034
0.0245   	   -0.000388   	           -7.766286   	          199.849155   	             0.001508   	          0.998492
0.0246   	    0.000059   	            1.176026   	          199.996542   	             0.000035   	          0.999965
0.0247   	    0.000506   	           10.115986   	          199.744003   	             0.002558   	          0.997442
0.0248   	    0.000952   	           19.035718   	          199.092043   	             0.009059   	          0.990941
0.0249   	    0.001396   	           27.917384   	          198.041964   	             0.019485   	          0.980515
0.0250   	    0.001837   	           36.743226   	          196.595868   	             0.033752   	          0.966248
0.0251   	    0.002275   	           45.495593   	          194.756646   	             0.051746   	          0.948254
0.0252   	    0.002708   	           54.156984   	          192.527975   	             0.073324   	          0.926676
0.0253   	    0.003136   	           62.710079   	          189.914312   	             0.098314   	          0.901686
0.0254   	    0.003557   	           71.137775   	          186.920884   	             0.126515   	          0.873485
0.0255   	    0.003971   	           79.423219   	          183.553677   	             0.157701   	          0.842299
0.0256   	    0.004377   	           87.549843   	          179.819423   	             0.191624   	          0.808376
0.0257   	    0.004775   	           95.501396   	          175.725591   	             0.228013   	          0.771987
0.0258   	    0.005163   	          103.261979   	          171.280366   	             0.266576   	          0.733424
0.0259   	    0.005541   	          110.816072   	          166.492637   	             0.307005   	          0.692995
0.0260   	    0.005907   	          118.148569   	          161.371979   	             0.348977   	          0.651023
0.0261   	    0.006262   	          125.244810   	          155.928630   	             0.392157   	          0.607843
0.0262   	    0.006605   	          132.090602   	          150.173476   	             0.436198   	          0.563802
0.0263   	    0.006934   	          138.672257   	          144.118025   	             0.480750   	          0.519250
0.0264   	    0.007249   	          144.976613   	          137.774386   	             0.525455   	          0.474545
0.0265   	    0.007550   	          150.991065   	          131.155245   	             0.569958   	          0.430042
0.0266   	    0.007835   	          156.703585   	          124.273836   	             0.613900   	          0.386100
0.0267   	    0.008105   	          162.102750   	          117.143922   	             0.656933   	          0.343067
0.0268   	    0.008359   	          167.177764   	          109.779758   	             0.698710   	          0.301290
0.0269   	    0.008596   	          171.918478   	          102.196072   	             0.738899   	          0.261101
0.0270   	    0.008816   	          176.315412   	           94.408027   	             0.777178   	          0.222822
0.0271   	    0.009018   	          180.359774   	           86.431198   	             0.813241   	          0.186759
0.0272   	    0.009202   	          184.043477   	           78.281535   	             0.846800   	          0.153200
0.0273   	    0.009368   	          187.359154   	           69.975335   	             0.877586   	          0.122414
0.0274   	    0.009515   	          190.300175   	           61.529208   	             0.905354   	          0.094646
0.0275   	    0.009643   	          192.860659   	           52.960043   	             0.929881   	          0.070119
0.0276   	    0.009752   	          195.035486   	           44.284976   	             0.950971   	          0.049029
0.0277   	    0.009841   	          196.820308   	           35.521353   	             0.968456   	          0.031544
0.0278   	    0.009911   	          198.211554   	           26.686700   	             0.982196   	          0.017804
0.0279   	    0.009960   	          199.206443   	           17.798682   	             0.992080   	          0.007920
0.0280   	    0.009990   	          199.802986   	            8.875073   	             0.998031   	          0.001969
0.0281   	    0.010000   	          199.999989   	           -0.066284   	             1.000000   	          0.000000
0.0282   	    0.009990   	          199.797059   	           -9.007508   	             0.997972   	          0.002028
0.0283   	    0.009960   	          199.194602   	          -17.930720   	             0.991962   	          0.008038
0.0284   	    0.009910   	          198.193821   	          -26.818076   	             0.982020   	          0.017980
0.0285   	    0.009840   	          196.796719   	          -35.651806   	             0.968224   	          0.031776
0.0286   	    0.009750   	          195.006090   	          -44.414243   	             0.950684   	          0.049316
0.0287   	    0.009641   	          192.825513   	          -53.087867   	             0.929542   	          0.070458
0.0288   	    0.009513   	          190.259349   	          -61.655333   	             0.904965   	          0.095035
0.0289   	    0.009366   	          187.312730   	          -70.099509   	             0.877151   	          0.122849
0.0290   	    0.009200   	          183.991548   	          -78.403509   	             0.846322   	          0.153678
0.0291   	    0.009015   	          180.302444   	          -86.550728   	             0.812724   	          0.187276
0.0292   	    0.008813   	          176.252796   	          -94.524875   	             0.776626   	          0.223374
0.0293   	    0.008593   	          171.850700   	         -102.310003   	             0.738317   	          0.261683
0.0294   	    0.008355   	          167.104961   	         -109.890546   	             0.698102   	          0.301898
0.0295   	    0.008101   	          162.025067   	         -117.251344   	             0.656303   	          0.343697
0.0296   	    0.007831   	          156.621177   	         -124.377678   	             0.613255   	          0.386745
0.0297   	    0.007545   	          150.904097   	         -131.255299   	             0.569301   	          0.430699
0.0298   	    0.007244   	          144.885259   	         -137.870452   	             0.524793   	          0.475207
0.0299   	    0.006929   	          138.576699   	         -144.209911   	             0.480088   	          0.519912
0.0300   	    0.006600   	          131.991032   	         -150.260998   	             0.435541   	          0.564459
